Species,x,y
Petromarula pinnata,24.475222,35.367214
Petromarula pinnata,24.63643,35.142142
Petromarula pinnata,25.14409,35.221552
Petromarula pinnata,24.194275,35.427719
Petromarula pinnata,24.571128,35.256925
Petromarula pinnata,24.383979,35.292404
Petromarula pinnata,24.284719,35.260889
Petromarula pinnata,25.165589,35.284184
Petromarula pinnata,25.01,35.32
Petromarula pinnata,25.52722,35.30806
Petromarula pinnata,24.399868,35.225842
Petromarula pinnata,24.015405,35.517843
Petromarula pinnata,24.30356,35.1838
Petromarula pinnata,24.472765,35.154863
Petromarula pinnata,25.840479,35.053418
Petromarula pinnata,24.141125,35.586811
Petromarula pinnata,23.98,35.45
Petromarula pinnata,25.883102,35.157108
Petromarula pinnata,23.61056,35.54083
Petromarula pinnata,23.73444,35.41528
Petromarula pinnata,25.991678,35.070961
Petromarula pinnata,23.938761,35.274209
Petromarula pinnata,25.5667,35.0333
Petromarula pinnata,24.629667,35.352833
Petromarula pinnata,25.3847,35.0214
Petromarula pinnata,24.3583,35.3494
Petromarula pinnata,23.933,35.5
Petromarula pinnata,25.647411,35.16444
Petromarula pinnata,24.666667,35.266667
Petromarula pinnata,24.166667,35.2
Petromarula pinnata,24.786111,35.286111
Petromarula pinnata,25.525,35.158337
Petromarula pinnata,24.166667,35.25
Petromarula pinnata,25.016667,35.15
Petromarula pinnata,25.95,35.15
Petromarula pinnata,26.116667,35.15
Petromarula pinnata,24.066667,35.466667
Petromarula pinnata,24.80917,35.24
Petromarula pinnata,24.533333,35.35
