Species,x,y
Petromarula pinnata,24.571128,35.256925
Petromarula pinnata,24.383979,35.292404
Petromarula pinnata,24.284719,35.260889
Petromarula pinnata,24.023206,35.519233
Petromarula pinnata,25.165589,35.284184
Petromarula pinnata,25.01,35.32
Petromarula pinnata,25.52722,35.30806
Petromarula pinnata,24.399868,35.225842
Petromarula pinnata,24.30356,35.1838
Petromarula pinnata,24.472765,35.154863
Petromarula pinnata,24.141125,35.586811
Petromarula pinnata,24.470865,35.371853
Petromarula pinnata,23.98,35.45
Petromarula pinnata,25.883102,35.157108
Petromarula pinnata,23.61056,35.54083
Petromarula pinnata,23.73444,35.41528
Petromarula pinnata,25.991678,35.070961
Petromarula pinnata,23.938761,35.274209
Petromarula pinnata,25.5667,35.0333
Petromarula pinnata,24.629667,35.352833
Petromarula pinnata,25.3847,35.0214
Petromarula pinnata,24.3583,35.3494
Petromarula pinnata,23.933,35.5
Petromarula pinnata,24.666667,35.266667
Petromarula pinnata,24.166667,35.2
Petromarula pinnata,24.786111,35.286111
Petromarula pinnata,25.525,35.158337
Petromarula pinnata,24.2,35.4
Petromarula pinnata,24.166667,35.25
Petromarula pinnata,25.016667,35.15
Petromarula pinnata,24.633333,35.15
Petromarula pinnata,25.183333,35.233333
Petromarula pinnata,26.066667,35.15
Petromarula pinnata,25.95,35.15
Petromarula pinnata,25.833333,35.083333
Petromarula pinnata,25.65,35.16667
Petromarula pinnata,24.066667,35.466667
Petromarula pinnata,24.80917,35.24
Petromarula pinnata,24.533333,35.35
